"","t1","t4","t5","t2","t3"
"576","1","0","1","1","1"
"577","0","0","1","1","1"
"578","1","1","0","0","1"
"579","1","0","1","1","1"
"580","1","1","1","1","1"
"581","0","1","1","1","1"
"582","0","0","1","1","0"
"583","0","1","0","0","0"
"584","1","0","1","1","0"
"585","0","1","1","1","1"
"586","1","1","1","1","1"
"587","0","0","1","1","1"
"588","1","0","1","1","1"
"589","0","1","1","1","1"
"590","1","0","0","0","0"
"591","1","1","0","1","1"
"592","1","0","1","1","1"
"593","1","0","1","0","1"
"594","1","1","1","1","1"
"595","0","0","1","1","1"
"596","0","1","1","1","1"
"597","0","1","1","1","0"
"598","0","0","0","1","1"
"599","0","0","0","0","1"
"600","0","1","1","1","1"
"601","0","0","0","0","0"
"602","0","0","1","1","1"
"603","1","1","1","0","0"
"604","0","1","1","1","1"
"605","1","0","1","1","1"
"606","1","0","0","0","0"
"607","1","1","0","1","1"
"608","0","1","1","0","1"
"609","0","1","1","1","1"
"610","1","1","1","1","1"
"611","0","1","1","0","0"
"612","0","1","0","0","1"
"613","1","0","0","0","0"
"614","1","1","0","0","0"
"615","0","1","1","1","1"
"616","0","1","0","0","0"
"617","0","0","1","1","1"
"618","1","0","1","0","0"
"619","1","1","1","1","1"
"620","1","0","0","0","1"
"621","1","0","1","1","1"
"622","1","0","0","0","0"
"623","1","0","1","0","0"
"624","1","1","1","1","1"
"625","1","0","0","0","0"
"626","1","1","0","1","1"
"627","1","0","0","1","0"
"628","1","1","0","1","1"
"629","0","0","1","0","0"
"630","1","0","0","0","1"
"631","1","1","1","0","0"
"632","1","1","0","1","1"
"633","0","0","1","0","0"
"634","0","0","0","0","0"
"635","0","0","1","0","1"
"636","1","0","1","0","0"
"637","0","0","0","1","1"
"638","0","0","1","1","0"
"639","0","1","1","0","0"
"640","1","0","1","1","1"
"641","1","1","1","1","1"
"642","0","0","0","0","0"
"643","0","0","0","1","0"
"644","0","0","1","1","1"
"645","0","0","0","0","1"
"646","1","1","1","1","1"
"647","1","1","1","1","1"
"648","1","1","1","1","1"
"649","1","1","1","0","1"
"650","1","0","1","1","1"
"651","0","0","0","1","0"
"652","1","1","1","1","0"
"653","1","1","0","0","0"
"654","0","1","0","0","0"
"655","1","0","1","0","1"
"656","0","0","1","0","0"
"657","0","1","1","1","0"
"658","0","1","1","1","1"
"659","1","0","1","1","1"
"660","0","1","0","1","1"
"661","1","0","1","1","1"
"662","0","1","1","1","1"
"663","0","0","1","0","0"
"664","1","1","1","1","1"
"665","1","1","1","1","1"
"666","0","0","0","0","0"
"667","1","1","1","1","1"
"668","0","1","0","1","0"
"669","0","1","1","1","1"
"670","1","0","1","1","1"
"671","1","1","1","1","1"
"672","1","1","1","1","1"
"673","1","0","0","1","0"
"674","0","0","0","0","1"
"675","0","0","0","0","0"
"676","1","0","0","0","1"
"677","1","1","0","0","0"
"678","1","1","1","1","1"
"679","0","1","1","1","0"
"680","1","0","1","1","1"
"681","0","0","0","0","1"
"682","1","0","0","0","1"
"683","1","1","1","1","1"
"684","1","1","1","1","1"
"685","0","0","1","1","1"
"686","1","1","1","1","1"
"687","0","0","0","0","0"
"688","0","1","1","1","1"
"689","1","0","0","0","1"
"690","1","0","0","0","0"
"691","1","0","0","1","1"
"692","1","1","0","0","1"
"693","0","0","1","1","1"
"694","0","0","0","0","1"
"695","0","1","0","1","0"
"696","1","0","0","0","0"
"697","1","1","1","0","1"
"698","0","0","0","1","0"
"699","1","0","0","0","0"
"700","1","1","0","1","1"
"701","1","0","0","1","1"
"702","0","1","0","1","1"
"703","0","1","0","0","0"
"704","1","1","0","0","0"
"705","1","0","0","0","0"
"706","1","1","0","1","1"
"707","1","0","0","0","0"
"708","1","1","1","1","1"
"709","0","1","1","0","0"
"710","1","1","0","0","0"
"711","0","1","0","1","0"
"712","0","0","0","0","1"
"713","0","1","0","0","0"
"714","0","0","1","0","0"
"715","1","1","1","1","0"
"716","0","1","1","1","1"
"717","1","1","0","1","0"
"718","1","1","0","0","1"
"719","0","1","1","1","1"
"720","1","1","1","1","1"
"721","0","1","0","1","0"
"722","1","0","1","1","1"
"723","0","1","0","0","1"
"724","0","1","1","1","1"
"725","0","0","1","0","0"
"726","0","1","1","1","1"
"727","1","1","0","1","1"
"728","0","1","1","1","1"
"729","1","1","1","0","1"
"730","1","1","1","1","1"
"731","1","1","1","1","1"
"732","0","1","1","0","0"
"733","1","0","0","0","0"
"734","1","1","1","1","0"
"735","0","1","1","1","1"
"736","1","1","1","1","1"
"737","0","1","0","1","1"
"738","0","0","1","0","0"
"739","1","1","1","0","0"
"740","1","0","1","1","1"
"741","1","0","1","1","1"
"742","1","0","0","0","0"
"743","0","1","1","1","1"
"744","0","0","1","1","1"
"745","1","1","0","0","0"
"746","0","0","1","1","1"
"747","0","1","0","0","0"
"748","1","1","1","1","0"
"749","0","1","0","0","1"
"750","1","0","0","1","0"
"751","1","1","1","1","0"
"752","1","1","1","1","1"
"753","1","0","1","1","1"
"754","0","1","1","1","1"
"755","1","1","1","1","1"
"756","0","1","1","0","1"
"757","0","0","0","1","0"
"758","0","1","1","1","1"
"759","0","1","1","1","1"
"760","1","1","0","1","0"
"761","1","1","1","1","0"
"762","1","0","0","1","1"
"763","0","0","1","1","1"
"764","0","1","0","0","0"
"765","1","1","0","1","0"
"766","0","0","1","0","1"
"767","0","0","0","1","1"
"768","0","0","1","1","1"
"769","1","1","0","1","0"
"770","1","1","1","1","1"
"771","0","0","0","1","0"
"772","0","0","1","1","1"
"773","0","1","1","1","1"
"774","0","0","1","0","0"
"775","1","1","1","1","1"
"776","1","1","1","1","1"
"777","0","1","1","0","0"
"778","1","0","0","0","0"
"779","0","1","1","1","1"
"780","1","0","1","1","1"
"781","0","0","1","1","0"
"782","0","1","0","0","0"
"783","0","1","1","1","1"
"784","1","1","1","0","1"
"785","1","1","0","0","1"
"786","1","1","0","0","0"
"787","0","1","1","1","1"
"788","1","0","1","1","0"
"789","1","1","1","0","0"
"790","1","0","1","1","0"
"791","1","0","1","1","1"
"792","0","1","1","1","1"
"793","0","1","0","0","1"
"794","1","1","1","1","1"
"795","0","0","1","1","1"
"796","0","1","1","1","1"
"797","1","0","1","0","0"
"798","1","1","0","0","0"
"799","1","1","0","0","1"
"800","0","1","1","0","0"
"801","0","0","1","0","0"
"802","1","1","1","0","0"
"803","0","1","0","1","1"
"804","0","1","0","1","1"
"805","0","0","1","1","1"
"806","0","0","0","0","0"
"807","0","1","0","0","0"
"808","1","1","0","1","1"
"809","1","1","1","0","1"
"810","0","1","0","0","0"
"811","1","1","0","1","1"
"812","0","0","0","0","0"
"813","0","0","1","0","1"
"814","1","0","1","0","1"
"815","0","1","1","1","1"
"816","0","1","1","1","1"
"817","0","0","1","1","1"
"818","0","1","1","1","1"
"819","0","1","1","1","1"
"820","1","1","0","1","1"
"821","1","1","1","1","1"
"822","0","1","1","1","1"
"823","1","0","1","1","1"
"824","1","1","1","1","1"
"825","0","1","1","1","1"
"826","0","1","0","1","1"
"827","1","1","1","0","1"
"828","0","0","0","1","0"
"829","0","0","1","1","0"
"830","1","0","0","0","1"
"831","0","1","1","1","1"
"832","0","0","0","1","1"
"833","0","0","1","1","1"
"834","0","0","0","0","0"
"835","0","1","0","1","1"
"836","1","0","0","0","0"
"837","0","1","0","0","1"
"838","1","1","0","1","1"
"839","0","1","1","0","0"
"840","0","0","0","0","0"
"841","0","0","0","0","0"
"842","0","1","1","1","1"
"843","1","0","0","1","1"
"844","0","1","1","0","0"
"845","0","1","1","1","1"
"846","1","1","1","1","1"
"847","0","1","0","0","0"
"848","0","0","1","1","1"
"849","1","0","0","0","0"
"850","1","1","0","0","0"
"851","1","0","1","1","1"
"852","1","0","0","0","0"
"853","1","1","1","1","1"
"854","1","1","1","0","0"
"855","0","1","1","1","1"
"856","1","1","1","1","1"
"857","1","1","1","1","1"
"858","0","0","0","0","0"
"859","1","1","0","0","0"
"860","1","1","1","0","0"
"861","1","0","0","0","0"
"862","0","1","0","0","0"
"863","0","1","1","0","0"
"864","1","1","1","1","1"
"865","1","0","0","1","1"
"866","0","0","0","0","1"
"867","1","1","1","1","1"
"868","0","1","1","1","1"
"869","0","0","0","0","1"
"870","0","0","0","1","0"
"871","0","0","1","0","0"
"872","1","0","0","0","1"
"873","1","1","0","0","0"
"874","0","0","0","0","0"
"875","0","0","0","1","0"
"876","1","0","0","0","0"
"877","0","1","1","1","1"
"878","0","0","0","0","0"
"879","0","0","0","1","0"
"880","1","1","0","1","0"
"881","0","1","1","1","1"
"882","0","1","1","0","0"
"883","0","1","1","1","0"
"884","1","0","1","1","1"
"885","1","1","1","1","0"
"886","0","1","0","0","0"
"887","1","1","0","0","0"
"888","0","1","0","1","0"
"889","0","0","1","0","1"
"890","0","1","1","1","1"
"891","1","1","0","0","1"
"892","1","1","0","1","1"
"893","1","0","1","0","0"
"894","0","0","1","1","1"
"895","0","0","0","0","0"
"896","0","1","0","0","0"
"897","0","1","1","1","1"
"898","0","0","0","0","0"
"899","1","0","1","0","1"
"900","0","0","1","1","1"
"901","1","0","1","0","1"
"902","1","0","0","0","0"
"903","1","1","1","1","1"
"904","0","0","0","1","1"
"905","1","0","1","0","0"
"906","0","1","0","1","1"
"907","0","1","0","0","0"
"908","1","1","1","1","1"
"909","0","1","0","0","0"
"910","1","0","0","0","0"
"911","0","0","1","1","0"
"912","0","1","1","1","1"
"913","1","0","0","0","0"
"914","1","0","1","1","1"
"915","1","0","1","0","0"
"916","1","0","1","0","0"
"917","0","1","1","1","1"
"918","1","1","0","1","1"
"919","1","0","0","1","0"
"920","1","1","1","1","1"
"921","0","0","0","1","1"
"922","1","0","1","1","1"
"923","0","1","1","1","1"
"924","0","1","1","1","1"
"925","1","1","1","1","1"
"926","1","1","0","0","0"
"927","1","0","0","0","0"
"928","1","0","1","1","1"
"929","0","1","1","1","1"
"930","0","1","1","1","1"
"931","1","1","0","1","1"
"932","1","1","0","1","0"
"933","1","0","0","0","1"
"934","0","1","1","1","1"
"935","1","1","1","0","0"
"936","1","1","0","1","1"
"937","0","1","1","1","1"
"938","1","0","0","0","0"
"939","0","1","1","1","1"
"940","1","1","0","0","0"
"941","0","1","1","1","1"
"942","0","1","1","1","1"
"943","0","1","0","1","1"
"944","0","0","1","1","1"
"945","0","1","1","1","1"
"946","1","1","1","0","1"
"947","1","0","1","0","1"
"948","1","1","1","1","1"
"949","0","1","0","0","1"
"950","0","1","0","1","0"
"951","1","1","1","1","1"
"952","0","0","0","0","0"
"953","1","0","0","0","0"
"954","0","0","0","0","0"
"955","1","1","1","1","1"
"956","1","1","1","1","1"
"957","1","1","0","0","0"
"958","0","1","1","1","0"
"959","1","0","0","0","0"
"960","1","0","1","0","1"
"961","0","1","0","0","0"
"962","1","1","1","0","0"
"963","1","0","1","1","1"
"964","1","1","0","0","1"
"965","1","0","1","1","1"
"966","1","0","0","1","0"
"967","1","1","0","0","0"
"968","1","1","0","0","0"
"969","0","0","0","0","1"
"970","0","0","0","1","1"
"971","1","1","0","0","1"
"972","0","1","1","1","0"
"973","1","1","1","1","1"
"974","1","1","0","0","0"
"975","1","0","0","0","1"
"976","1","0","0","1","0"
"977","0","1","1","0","0"
"978","1","0","0","0","0"
"979","0","1","1","0","1"
"980","0","0","1","0","0"
"981","1","0","0","1","0"
"982","0","1","1","1","1"
"983","0","1","1","1","1"
"984","1","0","1","0","0"
"985","0","1","1","1","1"
"986","1","1","1","0","0"
"987","0","0","1","1","0"
"988","0","0","0","0","1"
"989","1","0","1","0","0"
"990","0","0","0","0","1"
"991","1","0","0","1","1"
"992","0","0","0","0","1"
"993","0","1","1","1","1"
"994","1","1","1","1","1"
"995","0","0","1","0","1"
"996","0","0","0","0","0"
